,댓글
355,"“중산층을 세금과 인플레이션의 맷돌로 으깨버려라. 더 이상 노력으로 계층 상승이 불가능한 사회를 만들어라. 중산층을 과도한 세금과 집값 상승으로 척살하고, 다수의 빈민층들이 가진 자를 혐오하게 만들어라. 국가 공권력 및 구호품에 절대적으로 의존하게 만들어 공산정부를 절대적으로 지지하게끔 조종하는 것이 공산당 정권 유지의 비결이다.”
-블라디미르 레닌(Vladimir Lenin)-
.
100여 년 전 레닌이 한 공산주의 정권 유지를 위한 전략이 지금 정권에 의해 구현되고 있는 걸로 보입니다. 과거 우리는 공산화의 위협이 6.25처럼 북한의 침략에 의해서만 되는 거라 생각했습니다. 그런데 곰곰 생각해 보면 공산주의 혹은 사회주의 국가가 되는 것이 꼭 전쟁에 의해서만 되란 법은 없습니다."
356,정말 심각하다고 봅니다. 너무 문제가 많네요 ..
357,야 저래도 지지율봐봐 소득수준은 이제 남미 처럼 만들듯.. 공산당같아
358,절대 집값떨어트릴생각이 없어용 ㅠ
359,현정부 지지층이 젊은층인데..빨리 깨어나야할텐데
360,"""한번도 경험해보지 못한 나라"" 공약 실천 중 - 문대통령 대단하십니당 ❤️"
361,팩트 서민 2년 6천도 잘모은거다..
362,어차피 지금의 부동산은 박살 났다고 봐야함..
363,또 전세대책 내놓는다는데 외국인 규제나 내놔봐라
364,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
내 기억으로는 1900년대부터 지금까지 통 틀어서 내 집 마련은 원래부터 어려웠던건데
언제는 내 집 마련이 쉬웠던 때가 있었던것 처럼 글들을 쓰네"
365,주사파는 실존한다
366,부동산 가격이 떨어질거라고 믿는거 자체가 패인
367,문뽑았으면 불만 갖지 마세요 ㅎㅎ
368,대깨문 부모들 둔 자식들도 불쌍 ㅋㅋㅋ
369,예전에 청와대 경제실장인가? 연구한데 따르면 전월세는 진보고 자가아파트 소유자는 보수라는 연구결과가 나왔는데 그거때문에 문재인이 전원세 가격은 낮추고 집값은 낮추는척하면서 ㅈ나게 올린다고 들었음
370,정부탓을 떠나서 저 부부 지능에도 문제 있는데ㅋㅋㅋㅋㅋ애초에 위례는 서울이랑 지리적으로 매우 가깝기도 하고 신도시 치고는 서울 시세랑 비견될거 예상할만한데? 3천만원씩 5년 모아서 저걸 살 생각을 했다는게 말이 되냐?ㅋㅋㅋㅋ
371,ㅋ 원래 좌파정권만되면 중산층박살임ㅋ 노예와 귀족만을원하는듯ㅋ👍👍k부동산👏👏
372,@li_luv.c 시급 5천원 오르고 집값 5억오르기
373,@hssspower
374,@igotstuckinaf is this 나라?
375,@sso_523 @eun_z0102 @chel_jimn11 하 애드라..절망적이다ㅜㅠ2년동안 6억...
376,@seo0e_0327 우리동네 뉴스나왔어
377,@yssm_studio 진짜 우리나라 부동산 문제라고 생각해 .. 더 정신차리게 되네
378,@shiloxoxo 이게 현실....
379,@waterlily_sr 우ㅣ례... 내 꿈의도시 ..
380,@chihyun_______ 절레절레
381,@cherish_hyyy
382,@young_joo95 어제한참얘기하던내용이당
383,@mxxcxciny ㅋㅋ
384,@su_min_zzi 이런거보면 우린 지금 가진것들만 잘유지해도 순탄한것같아....
385,이제아파트값 안떨어지나요?....ㅜ
386,@by_honey.bee 문재인out
387,"@hyuny_1203 결혼은 이미 포기했고, 집 사서 죽을 때까지 조용히 살고 싶었는데 이러다가는 시골에 있는 폐가밖에 갈 곳이 없을 것같아..."
388,중국인 부자들이 이때다 하고 한국 부동산 사재기해서 중국인에게 집세내는 한국인들이 늘었다더라 ㅋㅋ 이쯤되면 문재인이 무능해서가 아니라 일부러 집값 올린거야 ㅋㅋㅋ
389,달재앙~~~
390,@dobuck_i 집 못산다ㅜㅜ
391,@h.__.mimi
392,@filter__park_ 자기야 어떡해...
393,@eeuunnjoo 나 큰일났구만 흠....
394,@itjun_ 어렵다정말 ㅜㅜ
395,@_won__n
396,@mesqueun_sth ...😢
397,@bongda___ri
398,@yn__know
399,@o_hoon_ ㅠㅠㅠ
400,그래서 난 그냥 차삼
401,@sso.vv 와우..
402,@hyunsukim9
403,집값은 진짜 어떤 정부도 잡지못할거같다...독재가 아니라면 ㅠㅠㅠㅠ
404,@y_unjjjjj ㄷㄷ
405,@kwon_mr
406,ㅏ
407,무능한 문통
408,@uravely_2 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
409,@araholic 지금 현실😭
410,그냥 지방에서 사는게 답😢
411,음.. 기준을 더 낮출수 밖에 없는거죠. 욕심을 더더 버려야 합니다. 그게 현실이죠.
412,@lhymoom8852 할
413,"이러니 다들 애를 안낳지, 아니 못낳지"
414,@kim_o_new 이거봐ㅠ
415,이러니 ㅅㅂ 욕을 처먹지..
416,@31zjxxh 산골짜기에서 살아야 될라나봐
417,재앙이네
418,@rachel_yuho @2innod_kim @a_nnie_0831 헐얘드라 첫번째 파라곤이야
419,우리나라 부동산법이 너무 약해ㅡㅡ 집많은 투기꾼들 보유세 왕창올려야 잡힐듯
420,돈벌이 수단으로 생각하는거 아니면 주택도 한번 찾아보지 동네믄 좋으면 매물이 좋은게 얼마나 많은데
421,@rerbcz
422,@zhd0581 와 25평 13억이래 장난아니다
423,😭
424,@gomddo_2 니가말한거?ㅋㅋㅋㅋ
425,애기포기 답이디ㅣ
426,화가난다.정말 우울하다.
427,저 돈이면 저렴한 아파트 최고급 인테리어로 할 수 있지만 그건 못하지
428,@kimseunghwan_
429,@kim__ho
430,@minzy_kkk
431,@jihyunwoo89 ㅠㅠ
432,@gziyuni
433,@about_joy
434,@sagagangho
435,@melting_soo
436,@k_jungho
437,집값은200년이지나도 계손오르다가~~~~~ 200년뒤에나 떨어질듯..... ㅜㅜ 망했다 망했어 ㅜㅜ
438,"누굴 위한 아파트인가, 아파트 보이콧 갑시다!!(사실은 어차피 살 수 없다 ㅋㅋ)"
439,@bro.mini_k
440,@hyeni_95 ㅠㅠㅠ
441,@_yuldaddy
442,@reallyuuuuu 이래서 무리해서라도 질러야하는거임 ㅠㅠㅠㅠ
443,@theromantic.j
444,@k__bokyeong
445,@byunghee_kim_ ㅠㅠ
446,@sso_sweee3_3 야구냥 대출받아서사고 나중에 팔앗으면 돈버는거아니냐..?신도시면..좋아질꺼알텐디..
447,@mis0kim_ 흑흑 ㅠ
448,@chicccccchoke
449,Gg
450,@noruyah
451,이래도 문재앙을 지지한다고 ?? 대깨문 탈출은 지능순이다 ;;;
452,😂😂😂 이명박그네 탓하는 개돼지 없제?
453,문재인 진짜 이 개..ㅡㅡ 아 국민들은 왜모를까 이게 공산주의국가로 가는길이란걸.. 배급받고 살고싶어서 작정했나
