,댓글
280,"소수의 싫어하는 사람들 때문에 너무 힘들어하지마세요. 피지컬갤러리와 가짜사나이 교관님들 출연자분들 좋아하는 사람들이 몇천만배 더 많으니깐요! 영화관, dvd, 동시송출 등 기획한게 참 많았는데 못 나온다니 너무 아쉽고 이번에 열심히 돈번다 싶었는데 이런일 때문에 큰 손실은 아닌지 걱정도 되고.. 안그래도 계란님 아팠는데 더 아프게 되는건 아닌지 걱정되고 피디님들 교관님들 마음 다치지 않았으면 좋겠고 출연진들 그렇게 고생해서 달렸는데 그 결과물을 세상에 못 내놓게 되어서 얼마나 맥 빠질까 싶기도하고.. 1기마저 못보게 되니까 제가 다 속상하네요. 혁준상이 좀 빡치게 하더라도 영상의 끝을 보는 순간 모든 참가자에게 박수와 존경을 보내게 만들었던, 전율과 소름을 일으켰던 그런 프로그램이었는데 너무 마음이 아픕니다. 제가 운동을 하는 것도 김계란님 동기부여 영상보고 많은 영감을 받았거든요. 2기에 멘탈이 피지컬을 지배한다 라고 아슬란 교관님이 얘기하셨잖아요. 영상 보면서 먹는 약보다 더 많은 각성효과가 있었어요. 그래도 저는 약하고 혼자해서 엉성하지만... 제 나름대로의 비타민, 각성제 같은 역할이었습니다. 진심으로 피지컬갤러리 좋아하는 사람들의 에너지 받으시고 모두 한숨 돌리시고 너무 오랫동안 힘들어하지말고 금방 돌아오시길 바랍니다. 가짜사나이2기 끝까지 안풀면 찾아갑니다^^.... 모두의 노력이 헛수고가 되지 않고 모두의 간절함이 헛되지 않기를.....🙏"
281,빡빡이 아저씨 화이팅..🔥
282,빡빡이 아저씨 힘내세요 가짜 사나이 응원합니다
283,형 악플러들이 원하는 방향으로 흘러가지마ㅠㅠ
284,가짜사나이 응원하는사람이 더 많아요 제발 올려주세요...
285,아오 ! 우리 착하고 이쁘고 머리마저 빛이나는 후광이 빡빡이 김계란님을 누가 감히 힘들게한겁니까 !
286,"계란님 진심으로 힘내시길 기도하고 응원할게요
가짜사나이 남은 영상들이 안나오는 부분에 대해서 아쉬운건 사실이지만 보는 저희보다 직접 고생하며 연출하고 촬영한 가짜사나이팀분들이 더 아쉬울꺼라 생각합니다
사람이 먼저에요 힘드시면 안올리시는게 맞는 결정이라고 생각합니다
가짜사나이를 통해 많은 사람들이 군인분들에 대한 충성심을 가슴에 새기게 되었고 힘을 얻고 살았습니다
이런 좋은 컨텐츠를 기획해주셔서 정말 진심으로 감사합니다
멘탈관리 잘 하시고 좋은 모습으로 돌아오시길 바라고 또 바라며 기다릴게요"
287,니들이 말한 무사트니 유디티 수준이@이정도구나 졸 구린거 잘 알았다
288,👍
289,저는 술 입에도 안댓습니다 😋
