,댓글
213,@kim_hanjoo 샹 뭔가 쎄하다 했지뭐야 ㅋㅋ
214,@alsdnrtlqkf 오늘의 이슈...
215,@abbaabrrl_8 사 라 져
216,@geondea 세라핀 챔 없어지는 거 아녀?
217,@in.vin.cib1e
218,초반딜 ㅈ같은 캐릭이였는데 삭제 다행 ㅎ
219,@taems_0903 태민이는 세라핀 구경도 못해보고 이렇게 가는건가..
220,@pjy__96
221,@ljh_bangbang
222,Kda에 짱개있는거 조깥았는데 세라핀 걍 삭제해라 ㅋㅋㅋㅋㅋㅋㅋ쓰레기챔
223,@y____k.tk
224,@mystictriace
225,@urnearandeartome
226,@fearless_wisdom_12
227,와 쒸이벌 스테파니 몸매보소
228,@ililililililil89 흥미롭누
229,@zzzmini_0217 @bingbong_1013 ㅁㅊ...
230,@kick_8_8 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진심 또라이아니냐
231,@mygummy.tom 미쳤나봐
232,@chxnsicxx @chae_twinkle 미친놈
233,🙌
234,자기가 사주는것도 아닌데 잘 헤어진듯
235,아 저런걸 보고 쪼다라고 하는거구나
236,지 장례식도 최저가로 알아보고 가기를🙇🏻‍♂️🙇🏻‍♂️
237,결혼하면 깻잎 옆동네 마트 네묶음 이천원인데 왜 앞에서 세묶음에 이천원 샀냐고 잔소리하고 듣기 싫어하면 삐져서 밥도 안먹고 휙 나갈 타입임. 헤어지는 게 답
238,어쩌라고 이미 사서 신은거. 기분만 잡치게 최저가 알려주는것도 모자라 따지고 난리야. 산 다음날 가격 떨어지거나 쿠폰 뿌려도 속상할판에 ㅡㅡ 잘헤어졌다
239,와! 3만원에 인생 구했다!
240,걍 애초에 헤어지려고 꼬투리 잡은 느낌
241,남자도 이해가 가긴 가는게 첨 있는일은 아닌거 같고 그동안 여자의 소비 스타일이 마음에 안들었던것 같네 뭐하나 걸려라 하는심정이 있을수도 근데 되게 별로긴함..
242,거지랑 연애하는 거 아님
243,@egg_tagram 😰😰😰
244,@ililililililil89 과하다 과해
245,@_xo_xee__ 뭐야 진짜 개별로네 하다가 마지막에 헤어지잔거 보고 개빡침 ㅋㅋ ㅠ
246,@shwoa._.ys ㅁㅊ
247,"@kyeongsancityboy 보기만 해도 스트레스,,"
248,@sim.___.sy 으 너무싫어 왜저래 아무리 알뜰이라지만..
249,@kim_musu 환장
250,@fuckjay_hongz 오뜨캐 생각행
251,@j._.hehahaho 내가 이랭 ?
252,@hong_d__h 너도 이럴거야...?
253,@ssssso0_y 아..굉장히 피곤하죠
254,@__tn5_5
255,@h_t___h_t 여보냐구^^
256,@neul2ya @hyop.94 헤어지는방법도 🍆🍆...
257,@jh_jhnee 2만원에 부들부들하는 게 딱 누가 생각나네🔥
258,@gain_o3o 이런남자 진짜 아닌거같음ㅉㅉ
259,@ro_woonie 죽일까? ㅋㅋ
260,@h_.yeee9 어후 시벌
261,@uuujin_ss 환장하겄네
262,@seok_1222 개정떨어짐...
263,@iseung_eun 어떻게생각해...
264,@iamahjang
265,@babby_rin ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ헤어질려고 각잡은거다 저사람
266,@hj_glory 어휴
267,@kng_ccu__ 족발2
268,@dakim22 시바 존나숨막혀
269,@mxx.seo 지가 사줄것도 아님서 말 개많뉴ㅠ첨부터 찾아주던가
270,@wn8008___8
271,@h_leeee 아 존나 씨발 가성비 개지리네
272,ㅋㅋㅋㅋㅋㅋㅋㅋ참ㅋㅋㅋㅋ
273,@hs_mooon 징글징글해라..
274,@ori._.92__ 살짝...
275,@_si0n_ 아 토나옴 ㅋㅋ
276,@leebomnuree 왜저래 정신병자인가봐
277,사주고 저래도 극혐인데ㅋㅋㅋ극혐..
278,@sarangdoome 진짜 개암걸린다 미친
279,와ㄷㄷ 개찌질해
280,ㅡ.
281,@sunho_04_lee 오또케 생각하슈?
282,손해보고 살줄도 알아야지
283,ㅎㅎㅎㅎㅎ
284,@pansung2 오빵 이거바 어떻게 생각행
285,ㅋㅋㄱㅋㅋ어이없을 무
286,@ss.yy.ss02
287,@ig_nuoyh 나 이래도 돼?
288,@__twin99__ 잇힝
289,@dxnviss
290,@allffall 물회 사먹는거 ㅇㅈ?????
291,@wndw_hk
292,@k_meeeeeeeee 읽기 싫어서 다 안읽었는데 짝퉁 어쩌고에서 와우..
293,❤️
294,@shwoa._.ys 개 땡기는데 반땡?
295,@dlddldrml__0 뀨르뀰
296,@2jew_dh 😭😭😭😭
