,댓글
282,왜 하늘은 착하고 마음 이쁜 사람들만 빨리 데려가실까.. 참 슬프다ㅠㅠ
283,하느님은진짜착한사람순서대로 대려가시나....
284,"연예인, 희극인 을 떠나 잘 알지도 못하는 박지선님 이 돌아가셨다는 뉴스에 울은건 처음이다. TV 에서 보는 이미지가 아니라 자기 자신을 보여준 사람 냄새나는 사람... 지금도 눈물이 난다 😭😭😭😭😭😭"
285,너무 가슴 아리네요
286,@won._.0320 @yo0n_zi_ 이거보면 ㄹㅇ 안울수가없다
287,@kossutta 봐봐..
288,@jji._.m @haeun0700 하 슬퍼ㅠ
289,@xeungmin_jinxwa 나 이거 읽고 눈물나떠...😭
290,@98.lo27
291,@j.__.heeee 울고있다..
292,@heeejunng_ 마음아푸다 ....
293,@jhe._e 아 너무 슬프다ㅠㅠ
294,@nari_sundori
295,@kmminki 진짜..... 좋은얘기끝없이 나오는사람ㅠ
296,@wiyg
297,@he_bbling ㅣ잉거엿ㅁ숴
298,@ssapmang_
299,@ji_reong2 잉 이고임 어제 말 하던거
300,@ceuuuun 나 울어 진짜 ... 속상해
301,@yeaonly_
302,@woooo_sm
303,@bk_almighty94 이거바바 ㅠ
304,@1_hongju 폭풍눙물...
305,로제는 음악 많이 듣는 티가 나네요 선곡 쥑이네
306,댓글 뭘좀 아네 이러는데 쟤네가 너네보다 잘 알음 ㅋ
307,로제는 힙을 아는사람인가? 타일러를 듣네 ㄷㄷ
308,첫 번째는 다 블핑 노래네
309,지수 나랑 취향 비슷하당
310,@yejun5122 로제 뭘 아네 써머 ㄷ
311,@eunnamul best part를 듣는 김제니 와아 같은 노래를 듣는게 왤케 좋냐💕
312,@psaorakp_ 난 지수랑 비슷허다✨
313,@5bokss_ 헐 지수 나랑 비슷하다
314,@chxx._.0ne 지수 플레이리스트에 있는것들 최곤디🥺
315,@vjekskfmwlak 잠만 지수 ㅈㄴ 우리취향
316,@realpressepapier 지수 나랑 플레이 리스트 거의 똑같아
317,@h_m0_rina 나 로제랑 음악 취향 비슷행 ㅎ 행보카도
318,@oncirc1e 대빅
319,@yeonon_9 @cho.won.won
320,@yerim0213 @ppi_yack
321,@soul2_p 헐 나 do it 좋아하는데 제니언니랑 공통점 생겼다 ㅎㅎ ❤️
