,댓글
178,횽아 나죽엉~너무 이쁘잔엉
179,@n_jju.91 @91jhk 이번에도 닮은꼴 해명글인줄ㅋㅋㅋㅋㅋ
180,@park_eunmi0051 다리바 와 부럽다
181,@eujin.99 ㅋㅋㅋㅋㅋ이거얔ㅋㅋㅋㅋㅋ
182,@s00_min_ 미친 워크맨 에뛰드 했나봐ㅠㅠㅠㅠ 대박 재박
183,안본눈 ㅠ
184,ㅋㅋㅋ각선미 쩔어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
185,어머 언니..
186,ㅁㅊ 결국했네 에뛰드알바
187,@29.juun.10 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ가장의 무게가 얼마나 무거운거야 ㅠㅠ
188,아 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 보고 너무 고와서 키큰 여자인줄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다소곳 합니다요👍
189,@babbang90 @ddalgi_0202 장성귴ㅋㅋㅋㅋㅋ
190,@ch__eol_ 오 재밌겠당
191,@stellao5 대박ㅋㅋㅋ
192,@kwl_p_v
193,@verweiledoch_jng @dntrud 나 오늘 봣자너;;;;
194,워크맨 존버타기 잘한듯
195,💕
196,@l_e_e_y_e_j_u ..
197,가장의 무게ㅋㅋㅋㅋㅋ🔥🔥
198,@z.hong_s3 딱 니룩
199,@gaeun09_
200,에??!!!!!성규짱 여쁘데스네
201,드디어!!!!!! 아이구 너무 이쁘다
202,@9.6_a_a 아앀ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
203,혹시 누나 남자 친구 있어요??
204,@siiiwonnn__
205,드디어 ㅋㅋㅋㅋㅋ
206,@jinhyangg 아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
207,예......예쁜데요?🙀
208,@hiboooooom
209,@hanseul__lee 드디어 에뛰드다
