,댓글
125,소화기가 폼이였나봄 ㅡㅡ안되는거
126,아니... 빌려주는건 할수 있잖아. 어디 죽어가는 사람 심폐소생술 하라는거 아니잖아 문제 발생할만한거에 끼라는것도 아니잖아.. 소화기는 빌려줄수있잖아..
127,어디죠~?? 불매 각
128,소화기 하나 사는게 아깝나.. 내가 사장이었으면 내가 직접 들고 갔을꺼같은데
129,앞으로 중국 욕하지맙시다
130,지들이 당해봐야지 ㅉㅉㅉ
131,😡😡😡
132,소화기가 뭐라고 안빌려줌 존나 누가보면 돈빌려달라한줄알겠네
133,빗자루로 불이꺼짐요?
134,아 부끄러진짜 점심먹으면서 뉴스보다가😫
135,대전 시민 협조하세요
136,@hanna890202 엥 왜저래 왜안빌려줘? 참나 지들상가에 불나도 저럴려나
137,@hoon.1111 진짜 이해안간다잉 ..
138,@bona_choi_35 이거봐
139,@lee_.sunny @s.e.ul_ 불끄러가자는것도아니고 왜???? 왜 안빌려줘???? 왜??????? 왜???????????????????
140,@seonhwa0331 어디이려나
141,@eunrin__mom 헐 어디지 도로 버스정류장 뒤 화단이면 탄방동??둔산동?? 갈마동?? 월평동?? 너무 많아;;;;
142,@g_jjeong 대전이래!!!!
143,@taekjinnnn 소화기 하나사기 아까웠던거야...?
144,@___xun.xoo___ 이건좀
145,@ycm123_ 흠
146,@sso_z1 와 이거 그거 아냐? 막상 가게에 존나 오래 놔두고 검문오니까 그냥 두기만해서 작동안되는 거 들킬까바 안주는 거 아냐??;;;;;;
147,아 부끄러진짜 점심먹으면서 뉴스보다가😫
148,대전 시민 협조하세요
149,@alwayspocky 어디지 ㅡㅡ
150,@duddnrsla ?? 왜 안빌려주는거임? 불 번져서 가게까지 타들어가면 어쩔라고
151,@lohas_pensions 뇌가 잘못 됫거나 즈그집 쓰래기 태웠네요
152,@_e_hana 미친 ㅡㅡ 무조건 빌려줘 난 물바가지 퍼서 따라간다
153,@ming._.0913 에휴 그거 아낀다고 휴 걍 가게 망해라 답이 없애
154,대단하다 내였으면 같이 달려가서 불껏다 시발
155,본인들상가들이 불이나봐야지 ㅉㅉ 인간 인성들이 참 ㅉㅉ
156,미친 @hyejinhand
157,와... 저럴수가 있나
158,왜?
159,어머나 ㅡㅡ🔥
160,왜 안빌려주나...
161,대전분들 저기 어느 상가인지 널리 알려주세요!
162,🤬🤬🤬🤬🤬 ㅅㅂ 소화기는 전시용 폼으로 두는거네 🔥🔥🔥
163,"왜다들힘든거야소화기못줄만큼.. ,.!?!!"
164,@youtting_2 소화기하나에 몇천하나봄😰
165,..?
166,와....... 할말이 없다 진짜..
167,소화기가 가보라되냥? 대대로물려줘라~~
168,가게 공개해 주세요..안가게!!
169,자신들이 곤란할때 내민 손 거절 당해봐야 아는건가~ 이건 진짜 아니다 싶네요.에휴~~~
170,충전하면 내돈들어서 그런듯
171,😡😡😡
172,🔥
173,소화기 얼마한다고...정말 ㅡㅡ
174,👹
175,🔥
176,본인 상가에 불나서 옆상가에 급히 빌리러 갔더니 안빌려준다면...어쩔거임
177,저 인간들...지들 집이나 가게에 불 나면...도움 주면 안되겠네~
178,...빗자루라니;; 소화기 빌려주기 싫어서..참- 어이가 무어이입니다요- 우리집에 불나는거 아니니까 관심없다 뭐 그런겁니까? 사람들이 왤케 이기적이세요들ㅜ?
179,왜 안빌려주는건가여??돈이 아까운가 작은불이 큰불되는건데...참...불
180,아니 왜? 안빌려주지.
181,와.... 참ㄴㅏ
182,어이없다 정말~~ 불났다고 징징거리지마라 상가인들아
183,이거 처벌 해여할 문제 아닌가요 큰 불로 번졌을때 그들의 책임도 있어요
184,배치된 소화기가 오래되서 작동 안하는거구나.. 들킬까봐 안빌려준거네.. 으이그.. 요즘 어딘지 금방 알아내는데...
185,ㅋㅋㅋㅋㅋ
186,왜 안빌려줘????? 큰불 날번 했다.
187,"아마 작동안되는 소화기였을것같음... 소방법? 상으로 원래 정기적으로 작동되는건지 확인하고 작동되는걸 두게끔 되어있는데, 뽀록나면 자기네들이 법 어긴게 되니까 ㅎㅎ"
188,대전 저동네는 사람들 안가겟네 ㅋㅋㅋㅋㅋ
189,긴박한 시간에 생중계가 아닌 녹화였던거죠??? 내일이다 생각을 한다면 소화기 하나쯤은.. 씁쓸...
190,@incheol1989
191,@jyyeon__
192,@real_y_s 대전사람들 인심이 겨우 이정도였나.....거참.. 나같으면 같이 들고 나가서 불껐다
193,대전시민
194,@h.__.ov 인성...
195,@jieun8352
196,@dal__gu__z
197,@kkang_ws
198,@mijin5029 누구징........
199,조심스럽게 유추해보면 소화기도 주기적으로 관리를해줘야됨 한달에 한번정도는 흔들어줘야되고 지시압력계도 녹색에가있나 확인해줘야됨 이건 의무임 안하면 벌금이고 저사람들도 소방법때문에 어쩔수없이 개점때 갖다놓고 그이후로 관리를 한번도 안해서 줘도 쓸수없는 상황인걸 알고있을거임 그래서 안준거고 줬다가 쓸모없는거 알면 신고할까봐 .. 아니라고? 그냥안준거라고? 그럼 나가뒤졌으면 좋겠는데..
200,@l_sssunny @leerokjae 대전이래 ㅋㅋㅋ
201,참 멋있는 청년이네요
202,그냥 상가 다 태웠어야 하는데 아쉽다
203,"그상가 불나봐야..,.음음 정신차리지🤬"
204,@__________junhee 미쳣다
205,소화기 빌려주다 죽은 귀신 붙었나
206,저 샹것들 벌금 매겨
207,그냥 식민지 출신국 백성들 클라스 보여준것 뿐.
208,요즘 인간들 정이 점점 매말라간다는게 안타깝다 ㅡ어느 상가인간들인지 어이없다
209,본인꺼가 불난게 아니라 나 몰라라 하는거지 수준 ㄹㅇ 최악이네
210,@03_ssu 주변상가 어딘디 까발리고싶아 인성 봐 으응 우웅
211,헐..인성무엇
212,그불이 그가게로 번졋으면 빌려줬을듯
213,그냥 저쪽 싹다 불매하면되죠 정신못차리네
214,시민의식 짱깨 우뺨 갈겨버리네
215,"인근 상가 불에 타도록 내버려뒀어야 하는가...
참 나쁜사람들... 당해도 싸다는 험한말이 나오네요"
216,중국 욕하지 마라 느들은ㅋ
217,중국 욕할꺼없다 니네 다똑같아
218,도대체 대가리 속에 뭐가 든걸까..... 불이 났다는데..
219,@sung_asdf
220,왜 안빌려 주신 건가요? 고장난 소화기 였나요??그러다 주변 다 타고 상가까지 번지면요?
221,대전? 아~ 수긍
222,하여튼 ㅅㅂ 지밖에모르는 인간들 많아!! 그상가에 불나면 꺼주지마시길!!!
223,소화기 작동안될까봐 안빌려줬나...
224,어딘지알려주세요!!!!!아오
