,댓글
159,난 그냥 가만히 운동하고 외모 가꾸고 공부하면서 연예도 하고 취직도 하고 돈도 벌면서 사회활동은 투표만 하고 싶은데 나가서 시위하기 귀찮고 싫어.... 그럴시간에 자기계발을 하지
160,다수의 남자들이 그런 마인드지
161,성별 무시 못하는 요소들이 잇긴 하더라 유전적으로다가
162,ㅇㅈ... 역시 서로 다른거 인정하고 억지 안부리면서 이해하는게 좋은거같아
163,요즘엔 몇몇이 아닌거 같은데
164,요즘 필요성이 생긴다는건 그만큼...
165,절평은 권고사항일 뿐
166,절대여도 기준은 교수재량이니까 상대처럼 줄 수는 있음
167,우리과는 애초에 교수가 알아서 상대평가로 다 주던데
168,그냥 권고였구나....
169,3은 심한데..
170,인싸도 그룹스터디랑 좋은 정보로 학점 잘 따겠지
171,3.0이면 서탈인데
172,ㄴ
173,어떤 분야인가에 따라 다르지. 그냥 하나를 위해서 다른 하나를 버리지만 않으면 됨
174,3.0이 취업 잘된다는게 중소기업 말하는건가?
175,글쓴이 친구 많구나 ㅋㅋ
176,6점 만점임
177,세부내역인가 보니까 최고점 7점 있어서
178,두마리를 키우는건 어때?
179,고양이도 그렇게 안보이지만 외로움 많이 타요ㅠㅠㅜㅜ
180,그냥 마음이 그렇다는거야..무엇보다 난 돈이 없엉
181,"두 마리 키운다고 고양이가 외로움 안 타는 건 아님. 사람도 친구가 채워줄 수 있는 것, 애인이 채워줄 수 있는 것, 가족이 채워줄 수 있는 것 모두 다른 것처럼.. 그리고 고양이는 같이 사는 애들 사이 안 좋으면 스트레스 땜에 더 힘들 수도 있고"
182,아무래도 그렇겠징 ㅠ
183,이번에 비대면강의라 방 필요 없을텐디
184,일단 집좀 나가고싶어요ㅠㅠ
185,명문대 안나와도 괜찮다는 말이랑 비슷하지
186,개소리하지 말고 기업 프로젝트나 논문 쓸 열정없으면 걍 조용히 학점이나 챙기는거 추천
187,학종은 내신 필요 없다랑 같은 논리ㅋㅋㅋ
188,공대는 학점 높은게 장땡임 ㄹㅇ 그리고 전공 많이 듣고
189,학점은 다다익선은 맞음. 근데 학점만 높고 인성이 ㅆㄹㄱ면 의미가 없다 이거지.
190,15분 면접으로 인성이 보일것 같음? 들어가서나 문제지 인성은
191,면접 말한거 아닌데?
192,삭제된 댓글입니다.
193,요즘 공익 가기 힘들어?
194,공익 계속 탈락하면 어케되느겨??
195,그럼 면제되기 전에 현역가는거?
196,"너무 비싼데,,?"
197,나 열흘짜리 십 몇만원정도 주고 성적 잘 땀 굳이 일대일까지할 필요는 없을 듯
198,혹시 어딘가요..?
199,대형이 좋은 거 같아서 강남 해커스 다녔어요
200,혹시 al받으셧나요?
201,ih 받았는데 전 열심히 안 했어요. 열심히 했으면 al 나왔을 거라 느꼈습니다
202,이건 진짜 그린라이트다
203,섹파
204,부럽다
205,ㅇㅇ근데진심걍할수도잇음
206,이건 이제 어떻게 하냐에 따라 달림
207,그냥 동성칭구처럼 엄청엄청 편해서 장난식으로 그런 얘기 하는데?!!! 이거 남자들이 오해하는 부분이야...?
208,"난 야한 얘기 친구랑만 해,, 썸남한텐 죽어도 못함 ㅠ 사바사긴 해"
209,궁금하면 그냥 물어볼수도 있지않나?
210,난 잘 되고 싶은 사람이랑은 19 얘기 절대 안 해..ㅜ 가벼운 사이 되기 싫어서 안 하고 싶어..ㅠㅠ
211,진심?? 진짜지??
212,분위기 따라 다르지 않을까 니가 개편해서 그런얘기 하는걸수도 있자나
213,그생각은 못했네..ㅠ
214,오바야.. 그런관계로 발전은하기싫은데
215,ㅋㅋㅋㅋ아직 설레발이야ㅠㅠ
216,고.맙.다.
217,내가 잘 리드해야겠네
218,아니 내가 오해하나보다.. 근데 친구가 아니구 약간 썸분위기인데 이거는 사귀는각인지 그게 궁금해서
219,사바사인듯...
220,못물어보겠어ㅠㅠㅠㅠ
221,그동안 고마웠다!
222,혹시 여자분?
223,넹
224,쪽지 막아
225,저 장기 싱싱한데 괜찮?
226,나
227,저요^^
228,예쁘면 ㄱㄱ 나 키크고 잘생김
229,ㄹㅇ?
230,ㅇㅋ
231,어떻게 생겼어
232,깔끔
233,가성비 하면 에어죠
234,거지패드 8
235,제일 최근에 나온 에어?
236,7세대?
237,에어 몇이요???
238,에어 4가 진짜 짱인데 중고가 방어 잘 돼서 4두 ㄱㅊ을듯
239,미패드가 진짜 거지패드지 ㄹㅇㅋㅋ
240,7세대 128기가 + 애플펜슬 중고로 50이면 살만한가요??
241,헐 그정도면 ㄱㅊ은듯..? 살만한데요? 저 7세대 32기가 41만원으로 샀거든요 중고아니고 그정도면 ㄱㅊ은듯
242,중고긴해용
243,"중고에요? 한,,48만원정도면 ㄱㅊ을거같은데 한번 찔러보삼"
244,ㅋㅋ 인내심..
245,북콘서트면 책 내용같은걸로 토론함?
246,헐 몇시쯤이에용??
247,7시 반이 시작입니다!
248,아 시간이 애매하게 안 맞아요ㅠㅠㅠ 너무 가고싶은데 아쉽네요😭😭
249,ㄴㄴ 졸업평균이 3.1몇인가 3.2몇인가 그래요
250,전자과는 평균이 3.0이었던걸로 기억..
251,과바과인데 보통 졸업할때 4.5환산해서 3.5나 3.6은 넘으려고함
252,현실은 3.5도 취업 힘든게현실
253,학점 보다는 관련 역량이나 관련 프로젝트 경험이 중요. 3만넘으면 갠춘. 학점 낮으면 질문 90프로 들어오는데 대답거리 하나 획득. 낮다고 하면 인정하고 관련역량 어필 하면 커버가능
254,보통은 현실은 그렇지않습니다 학점도 높고 역량높은 분들이 취업을합니다 애초에 학점낮은 친구들중 역량이 뛰어난분들을 거의 못봤습니다
255,네네.. 통계수치는 그러던데 에타보니 사람들 평균 인식이 그래서
256,취업선에선 3.5는 평균 인거같아요 물론 변환후
257,3.5는 찍어야 취업된다 그래서 걱정이에요😟
258,그렇군요..!
259,그쵸.. 맞아요
260,아~싸발련~
261,이러니 체육 복전생 싫어하지
262,글커 글커 글커 글커!!!
263,설마 또 체대생이냐?
264,ㅋㅋㅋㅋㅋㅋ 익명2 글커맘 개웃기네 ㅋㅋㅋㅋㅋ노력 많이하네
265,ㅋㅋㅋㅋ 체대 복전생들 기어올때마다 문제가 터지네
266,체대고 글커고 과가 뭔 상관이야 그냥 그 말한 사람이 개념무인거지 질문시간은 질문하라고 있는건데 늦게끝난다고 ㅆㅂㄴ이라고 말하는거 자체가 존나 생각이 없는듯;;
267,이런거는 공론화 시켜야함 ㄹㅇ
268,스지는 정말 어디내놓아도 쪽팔린다..체대의 똥을 너머 설사수준
269,어떻게 욕했는데????
270,글컴맘들 할 짓 드릅게 없나보네
271,삭제된 댓글입니다.
272,오 대체 무슨 일
273,무슨일이길래
274,수준 수준 수준 수준!!
275,어쩌냐..스지생인데..ㅅㄱ
276,아깝다..
277,스지생인건 어케암?
278,ㅈㄴ 크게 말해서 다 보임
279,아아ㅋㅋㅋㅋ 이름이 스지생 누구누구 이런식이었음??ㅋㅋㅋㅋㅋㅋㅋㅋ
280,글커 대디일수도 있잖슴
281,글커 그랜파일수도 있잖슴
282,믿거체
283,글커 대디일수도 있잖슴
284,생각을 특이하게 하시네
285,12에게)
286,왜? 글커 ㅂㅅ임?
287,원예들어간 이름 들어본거같아
288,ㅇㅇ원예과잇어 생대에
289,생명과학대 원예생명공학과
290,첨들어봄
291,생대에 원예이써
292,찾아보니까 생과대에 원예생명과학과 같아
293,쪽지 잠깐만 허용할수있어?
294,당연하지!
295,;롸
296,미친놈이넹
297,민사로 받아내라해
298,국장이랑 우정장학을 지들실수로 두번 줬다는데 이거 돌려줘야함? 둘다 내가 신청기간에 신청한거였음...
299,돈없다고 못준다그래 ㅋㅋ
300,원래 국장이랑 우정장학 중복돼?
301,^___^ 나도 갑자기 반년 지나서 다시 돌려달래서 냈었는데..^^ 그럼 처음부터 맞게 지원을 해주던가 진짜 뭐하는거냐
302,ㅈ까라해 ㅋㅋㅋ
303,국장+우정장학은 중복 되는데 우정장학+교내무슨장학(기억안나..) 은 중복 안되는데 그거 말하는듯 나도 그거 두개 매번 신청했는데 알고보니까 두개는 중복 안된댔어
304,매학기 등록금범위내에서 줬었는데 난 항상 전액까진 못받는 소득분위였어서 학기초에 일부등록금을 내고나면 운좋은학기는 학기말에 예산남으면 추가 우정장학 좀 더받고 그랬었음
305,예산 부족하다 이건가 학교 진짜 일처리 뭐같이하네 ㅎ 초과학기 코로나 장학금도 예산이 모지라서 안줬다던데
306,"내가받은거가 국장1유형 등록금 부분 감면 + 11월에 우정장학 부분으로 또 받음. 그 이후에 국장 2유형을 받은건데 우정장학지급시점에 내 국장2유형금액이 한국장학재단에서,정해져있었고 장학팀에서 알수있었는데 못거르고 우정장학을 준듯"
307,전 2번
308,3. 강의 전부다 녹화하고 잠잔다. 이후 시험 일주일전 자기비하하면서 몰아듣는다
309,강의 핵심만 필기하고 필기된 것만 복습한다
310,저는 1번으로 하는 중인데 양도 넘 많코 시간도 오래걸리네영...2번으로 바꿀까용?
311,이공계인데 타이핑으로 필기가가능? 공대는 노트하나사서 2번이 베스트
312,녹화 따면서 필기 없이 수업 한번 듣고 다시 보면서 ppt에 필기
313,중요하거나 복습할때 필기안하면 모를거같은거는 무조건 받아적으려고 노력함
314,그러면 시험기간때 헬게이트오픈아니냐;
315,이번 중간때 그랬는데 뒤질것같더라 ㅋㅋ... 3개밖에 안봤는데도 죽을뻔
316,이거다 ㄹㅇ
317,1번이 현장강의처럼 듣는건데 효율성을 따지면 2번이제일 베스트인듯 어쨌든 머릿속에 집어넣서 이해만되면 되니까 2번이 제일났다고생각함
318,후후 네넹 이공계도 저게 가능하다는 말씀이시네영
319,노타빌리티로 타이핑도 하고 중간중간에 그림하구 식 추가해서 그려넣는 중이에요 ㅎㅎ
320,ㅋㅋ 수업 먼저 들으려고 하는데 딴짓을 해서 문제네요 ㅠㅠ
321,오오 넹 팁 감사합니당 ㅎㅎ
322,사실 근데 수업을 안들음여 ㅋㅋㅋㅋㅋㅋㅋ결국 나중에 녹화본으로 봄
323,전화 첨삭때 그거 물어봄??
324,틀렸다고 머라하길래... ㅠ
325,갑을병정무기경신임계 자축인묘진사오미신유술해
326,병은 모르겠네
327,난 중국에서 유학하다 와서 너보다 아는게 많은데?
328,다 모르는데
329,나도 몰라..
330,보면 읽을수 있는데 쓰는거 못함
331,???뭔소리야...중국에서 유학하느라 한국말 핀트를 못잡니?
332,출석했습니다
333,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
334,꾸준한 수입이 있고 집제외 유동자산 3억이면 잘사는거라봄
335,"빚없고 먹고 자고 사는것에 불편함이 없는것, 그리고 가장 중요한건 행복한것"
336,걍 10분위만 돼도 잘산다할 수 있지않나..?우리도 10분위 이재용도 10분위긴 하지만 이재용같은 부자는 흔한건 아니니
337,보통 우리나라 중산층은 막 해외여행 1년에 1번 이상 5000만원 자본 뭐 이런거 였던걸로 기억하는데 유럽은 다룰 수 있는 악기가 있는가 이런거 였던 것 같아
338,10억
339,오 그정도로 생각하는구나 알겠어~
340,마지막이 하이라이트지ㅎㅎ
341,그럴수도있겠다..10분위!!
342,요즘은 해외여행을못가니 자본으로 판단해야하나ㅋㅋ 악기는좀특이하다ㅎㅎ
343,우리나라랑 외국의 차이지.. 교양
344,현금말고 다른거 다 포함해서?
345,아니 현금
346,다른거 하나 같이 들어도 괜찮음
347,아니 절대 하나만 해 계절 빡세
348,웬만하면 하나만하세요
349,뭘했는데
350,좀 격렬하게 하면 과호흡와서 그럴수도 있음 그냥 즐겨
351,아 관계 ..!
352,극락 가버린듯
353,아 네덜란드가도 평균이상이네 ㅋㅋ
354,와 씨 나 네덜란드가면 평균이 안되네
355,이기적 유전자
356,오란다
357,오 나 170
358,아 나 평균이상인데 평균이상 남자만나려면 네덜란드가야하나..ㅜㅜ
359,아 ㅋㅋ
360,밖에도 키만 큰 남자는 많응데?
361,ㅌㅋㅋㅋㅋㅋㅋㅋㅋ 키'만'....?
362,그럼 다른것도 커야돼?ㄷㄷㅡ
363,"ㅋㅋㅋㅋㅋㅋ감사합니다,,, 제가 잘하겠습니다,,"
364,혹시 저 185인데 만나실?
365,만나서 뭐할건데 키만 큰 남자는 널렸다니까
366,자자 쓰니는 빠지고 만나면 알아서 해야지~ 어허
367,교수님한테 메일 보내보셈
368,ㄷㅈ
369,나 신검때문에 수업 빠졌을때 출석인정 해주셨는데 군대 면접도 그렇게 해주시지 않을까?
370,앗 감사합니다 ㅠㅠ
371,응c
372,ㄱㅊ
373,내가 그정도였는데 A- 받아봄 ㅋㅋㅋㅋ 절평이라 아직 모른다
374,반타작이 비제로면 학점잘주는거아님?
375,ㄱㅅㄱㅅ
376,ㄱㅅㄱㅅ
377,기말잘봤나보넹
378,기말도 비슷했음
379,그냥 우리과가 취직 잘 안되는 과라서 교수님이 그냥 학점 뿌리신 거 같음
380,삭제된 댓글입니다.
381,20대평균163임
382,충분해
383,150대 울고갑니다
384,좀 작지
385,평균
386,평균이지
387,글케 작은가...?
388,?? 왤케 커..ㅠㅠ
389,이것도 틀림 161~2사이 남잔174후반~175
390,나도 충분하다 생각했는데 요즘 다니니까 뭔가 작은 편인 거 같은 기분이라...
391,평균이면 체감상 작음 국어 평균 5등급이잖아 공부 ㅈㄴ못해보이듯이
392,ㄱㅊ 충분 다른걸로도 다 커버 돼
393,음... 그래 키가 전부가 아니지 그래도 160은 넘으니까
394,ㅠㅠ 괜찮아 키 말도 딴거로 커버치자 우리!!
395,그치.. 난 내가 크면 165는 될 줄 알았어..ㅋㅋㅋ
396,고딴 거 없음
397,a컵이 대부분이지
398,b+ 이상 40퍼센트
399,교수님이 상평으로 준대서
400,상평이든 절평이든 A를 몇 퍼 이내로 준다 같은 건 없음
401,아 학점;
402,?
403,아 그ㅡ렇구나 ..
404,놑북이랑 비슷하지 않아? 그냥 메모용
405,ppt 당일 아침까지 안 올려주는 교수님 있을 때 필요성 절감...
406,필기하기 편하징
