,댓글
230,"😢😢😢😢부패국가로 불량국가...수수방관으로 부패국가로 불량국가...국민은죽어요 경찰의 수사 결과가 허위로 수사기록...고소장 손괴 뇌물수수도 정리해야 300만원...허위의 수사기록도 계 속..부패국가로 쓰레기 같은 국가를.., 이병재올림. 010. 4720. 6279."
231,💙💙💙👍👍👍👏👏👏
232,👏👏👏👏👏👏
233,"👏👏👏, "" Quick ""(by Elena Firsht), ☆$(DJ) 25■● heard that Pre$dent Grand Moon said ""사라지겠죠"" to her's asking long long time ago,but there are left many to solve the Unification of SouthㆍNorth . Because Grand Moon plus Kim JungSook(ㅇㅇIS's) are younger than [Any] . So can do enough that ! You'd better not worry about that . Cheer Up including Moon's Family !"
234,👍
235,대통령님 건강하세요! 응원합니다👍👍👍👍👍
236,❤️사상세계최초 화상 15개국 통합 FTA를 이루어 내신 대통령님 최고이십니다.
237,부동산 정책은?
238,우리대통령 너무 열심히 하셔서 건강 걱정됩니다. 언론에서 안 다뤄줘서 안타깝구요. 국민이 응원합니다♡
239,문재인대통령님 💙💙💙 대한민국 파이팅 🇰🇷🇰🇷🇰🇷
240,❤️❤️대통령님 존경합니다 💙💙
241,응원합니다💜
242,👍🏻👍🏻👍🏻건강하세요 👍🏻👍🏻👍🏻
243,대통령님 항상 건강하시길 빕니다!!💙
244,아세안과 한 중 일의 리더로서의 역활을 담당하는 대통령님께 경의를 표합니다
245,👍👍👍👍👍👍👍
246,🙏🙏🙏
247,👏👏
248,편파방역하지 마시고요 ... 민주노총은 되고 자유민주애국운동은 안되고 .... 당신이 바라는 나라가 국민이 바라는 나라는 아닌거 같네요
249,👍👍👏👏
250,응 그래 아니야 쇼쇼쇼
251,세계 경제의 희망이 되길
252,지지합니다🙏❤️❤️👏👏👏
253,💙💙💙👍👍👍
254,든든한 문 정부 👍❤️
255,👏👏👏👏👏👏
256,💙👍💙👍
257,🙏
258,💙💙💙💙👍👍👍👍
259,💙💙💙💙💙💙💙
260,👏👏👏👏👏👏👏👍👍
261,💙💙💙💙💙💙
262,늘 응원합니다. 💙💙💙💙💙💙💙
263,😊👍💙💙💙💙💙
264,사랑합니다💙💙💙💙
265,😍❤️
266,💙💙💙💙💙💙💙💙💙💙💙💙💙
267,위기에 강한 정부. 세계속에 빛나는 대한민국
268,대통령님 화이팅 입니다. 힘내세요^^
269,"🇺🇸바이든 대통령 만세, 🇰🇷문제인 대통령 만세,🙏"
270,대통령님 건강하세요~~ 끝까지 지지하고 응원하겠습니다!!!!💙💙💙
271,👏👏👏👏👏💙💙💙
272,"문재인 대통령님, 힘내세요.대한민국 파이팅 ~!"
273,❤️❤️❤️❤️❤️❤️❤️❤️❤️
274,대통령님 힘내세요 우리 국민들은 언제나 지지합니다
275,대통령님 존경합니다💙💙💙💙💙
276,당신은 실패한 정치인 입니다
277,힘내세용❤️❤️❤️
278,💙💙💙💙
279,👏👏👏👏👏
280,항상 응원합니다 💙💙💙
281,💙💙💙💙💙
282,문대통령님 항상 건강하세요~ 응원하고 지지합니다~💖💖💖
283,대통령님 힘내세요 💙
284,💙💙💙💙💙💙💙
